year,sex,age,value
1991,1,0,335984
1991,1,1,329049
1991,1,2,326574
1991,1,3,330789
1991,1,4,320568
1991,1,5,317387
1991,1,6,316099
1991,1,7,303005
1991,1,8,304386
1991,1,9,303760
1991,1,10,307516
1991,1,11,310630
1991,1,12,299995
1991,1,13,276705
1991,1,14,271938
1991,1,15,284000
1991,1,16,297963
1991,1,17,308329
1991,1,18,330295
1991,1,19,351210
1991,1,20,362341
1991,1,21,362053
1991,1,22,374031
1991,1,23,378325
1991,1,24,390242
1991,1,25,392528
1991,1,26,401026
1991,1,27,400635
1991,1,28,391779
1991,1,29,381650
1991,1,30,377747
1991,1,31,359109
1991,1,32,347144
1991,1,33,339988
1991,1,34,329108
1991,1,35,321886
1991,1,36,312308
1991,1,37,316672
1991,1,38,314708
1991,1,39,308833
1991,1,40,316923
1991,1,41,325217
1991,1,42,337241
1991,1,43,360624
1991,1,44,396278
1991,1,45,308651
1991,1,46,304339
1991,1,47,306569
1991,1,48,290191
1991,1,49,264734
1991,1,50,243517
1991,1,51,258934
1991,1,52,260863
1991,1,53,259383
1991,1,54,254735
1991,1,55,249239
1991,1,56,244603
1991,1,57,235930
1991,1,58,234258
1991,1,59,240719
1991,1,60,241786
1991,1,61,236406
1991,1,62,229950
1991,1,63,225818
1991,1,64,225537
1991,1,65,225362
1991,1,66,217164
1991,1,67,212584
1991,1,68,208566
1991,1,69,212258
1991,1,70,213636
1991,1,71,215125
1991,1,72,136435
1991,1,73,124673
1991,1,74,133715
1991,1,75,136095
1991,1,76,134059
1991,1,77,126359
1991,1,78,115090
1991,1,79,102587
1991,1,80,90560
1991,1,81,81469
1991,1,82,71276
1991,1,83,61344
1991,1,84,50886
1991,2,0,323603
1991,2,1,315512
1991,2,2,313252
1991,2,3,316606
1991,2,4,307204
1991,2,5,303045
1991,2,6,301783
1991,2,7,289927
1991,2,8,290190
1991,2,9,289551
1991,2,10,294464
1991,2,11,297100
1991,2,12,285486
1991,2,13,262853
1991,2,14,258753
1991,2,15,270294
1991,2,16,282291
1991,2,17,293369
1991,2,18,314100
1991,2,19,335128
1991,2,20,355507
1991,2,21,352864
1991,2,22,369250
1991,2,23,374302
1991,2,24,386299
1991,2,25,395171
1991,2,26,402359
1991,2,27,401378
1991,2,28,394176
1991,2,29,384989
1991,2,30,373954
1991,2,31,357439
1991,2,32,351370
1991,2,33,344400
1991,2,34,334118
1991,2,35,321658
1991,2,36,312581
1991,2,37,317835
1991,2,38,316450
1991,2,39,312040
1991,2,40,316646
1991,2,41,327525
1991,2,42,338668
1991,2,43,362897
1991,2,44,395584
1991,2,45,308441
1991,2,46,304402
1991,2,47,305244
1991,2,48,288916
1991,2,49,263456
1991,2,50,242989
1991,2,51,258406
1991,2,52,261932
1991,2,53,259505
1991,2,54,253934
1991,2,55,250536
1991,2,56,244783
1991,2,57,237911
1991,2,58,238470
1991,2,59,244854
1991,2,60,252041
1991,2,61,252242
1991,2,62,246683
1991,2,63,243490
1991,2,64,244962
1991,2,65,246909
1991,2,66,245664
1991,2,67,246512
1991,2,68,247840
1991,2,69,256038
1991,2,70,266331
1991,2,71,274546
1991,2,72,181168
1991,2,73,170982
1991,2,74,186669
1991,2,75,196333
1991,2,76,202938
1991,2,77,197160
1991,2,78,185029
1991,2,79,173036
1991,2,80,161668
1991,2,81,152773
1991,2,82,141930
1991,2,83,130082
1991,2,84,115499
1992,1,0,335937
1992,1,1,335131
1992,1,2,329041
1992,1,3,326780
1992,1,4,330388
1992,1,5,320425
1992,1,6,317173
1992,1,7,316255
1992,1,8,303315
1992,1,9,303980
1992,1,10,303274
1992,1,11,307725
1992,1,12,310354
1992,1,13,300069
1992,1,14,276646
1992,1,15,272101
1992,1,16,283791
1992,1,17,296035
1992,1,18,305462
1992,1,19,326856
1992,1,20,350272
1992,1,21,362000
1992,1,22,361637
1992,1,23,373241
1992,1,24,377188
1992,1,25,390046
1992,1,26,391658
1992,1,27,398952
1992,1,28,397679
1992,1,29,389837
1992,1,30,379543
1992,1,31,375258
1992,1,32,357562
1992,1,33,346844
1992,1,34,340136
1992,1,35,328928
1992,1,36,321157
1992,1,37,311688
1992,1,38,315684
1992,1,39,314348
1992,1,40,308356
1992,1,41,316205
1992,1,42,324122
1992,1,43,336283
1992,1,44,359908
1992,1,45,393448
1992,1,46,308498
1992,1,47,303690
1992,1,48,304898
1992,1,49,289126
1992,1,50,263006
1992,1,51,242888
1992,1,52,257493
1992,1,53,259344
1992,1,54,258046
1992,1,55,253084
1992,1,56,247189
1992,1,57,242323
1992,1,58,233497
1992,1,59,231960
1992,1,60,237321
1992,1,61,238078
1992,1,62,232357
1992,1,63,225820
1992,1,64,221109
1992,1,65,220399
1992,1,66,219262
1992,1,67,210838
1992,1,68,205997
1992,1,69,201315
1992,1,70,204372
1992,1,71,204874
1992,1,72,205171
1992,1,73,130518
1992,1,74,118053
1992,1,75,125867
1992,1,76,127423
1992,1,77,124484
1992,1,78,116427
1992,1,79,105555
1992,1,80,93128
1992,1,81,81537
1992,1,82,72655
1992,1,83,62870
1992,1,84,53437
1992,2,0,319145
1992,2,1,322663
1992,2,2,315499
1992,2,3,313543
1992,2,4,316351
1992,2,5,307039
1992,2,6,303165
1992,2,7,301818
1992,2,8,290126
1992,2,9,290349
1992,2,10,289177
1992,2,11,295093
1992,2,12,297152
1992,2,13,285965
1992,2,14,263211
1992,2,15,259361
1992,2,16,270757
1992,2,17,282644
1992,2,18,293792
1992,2,19,316996
1992,2,20,336997
1992,2,21,357081
1992,2,22,355100
1992,2,23,371279
1992,2,24,375552
1992,2,25,387385
1992,2,26,395282
1992,2,27,401400
1992,2,28,399977
1992,2,29,393102
1992,2,30,383469
1992,2,31,373300
1992,2,32,357092
1992,2,33,351136
1992,2,34,344145
1992,2,35,333553
1992,2,36,321846
1992,2,37,313048
1992,2,38,317853
1992,2,39,316398
1992,2,40,311987
1992,2,41,316505
1992,2,42,327187
1992,2,43,338230
1992,2,44,362913
1992,2,45,393185
1992,2,46,308496
1992,2,47,304228
1992,2,48,304122
1992,2,49,288383
1992,2,50,262531
1992,2,51,243007
1992,2,52,257851
1992,2,53,261029
1992,2,54,258855
1992,2,55,253125
1992,2,56,249623
1992,2,57,243322
1992,2,58,236522
1992,2,59,236965
1992,2,60,243221
1992,2,61,249936
1992,2,62,249697
1992,2,63,244296
1992,2,64,240610
1992,2,65,241901
1992,2,66,243435
1992,2,67,241823
1992,2,68,242331
1992,2,69,243110
1992,2,70,250835
1992,2,71,260622
1992,2,72,266847
1992,2,73,176981
1992,2,74,165526
1992,2,75,180225
1992,2,76,188812
1992,2,77,194451
1992,2,78,188050
1992,2,79,175707
1992,2,80,163295
1992,2,81,151507
1992,2,82,142205
1992,2,83,131107
1992,2,84,119043
1993,1,0,323949
1993,1,1,334392
1993,1,2,335021
1993,1,3,329159
1993,1,4,326326
1993,1,5,330503
1993,1,6,320302
1993,1,7,316850
1993,1,8,316628
1993,1,9,303547
1993,1,10,303376
1993,1,11,303340
1993,1,12,307580
1993,1,13,310284
1993,1,14,300054
1993,1,15,276831
1993,1,16,271896
1993,1,17,283437
1993,1,18,293088
1993,1,19,301782
1993,1,20,328982
1993,1,21,349871
1993,1,22,361936
1993,1,23,360862
1993,1,24,371823
1993,1,25,376772
1993,1,26,389058
1993,1,27,390628
1993,1,28,396883
1993,1,29,395729
1993,1,30,387821
1993,1,31,377785
1993,1,32,372922
1993,1,33,356332
1993,1,34,346106
1993,1,35,339863
1993,1,36,328575
1993,1,37,320297
1993,1,38,310968
1993,1,39,315170
1993,1,40,313146
1993,1,41,307986
1993,1,42,315075
1993,1,43,323303
1993,1,44,335412
1993,1,45,358978
1993,1,46,390847
1993,1,47,307901
1993,1,48,302934
1993,1,49,303317
1993,1,50,287769
1993,1,51,261460
1993,1,52,241867
1993,1,53,255886
1993,1,54,257831
1993,1,55,256409
1993,1,56,251089
1993,1,57,245005
1993,1,58,239944
1993,1,59,230890
1993,1,60,229013
1993,1,61,233790
1993,1,62,234015
1993,1,63,228015
1993,1,64,221338
1993,1,65,216121
1993,1,66,214913
1993,1,67,212739
1993,1,68,204403
1993,1,69,199034
1993,1,70,193842
1993,1,71,196159
1993,1,72,195904
1993,1,73,195202
1993,1,74,124290
1993,1,75,111297
1993,1,76,118008
1993,1,77,118053
1993,1,78,114879
1993,1,79,106920
1993,1,80,96189
1993,1,81,84110
1993,1,82,72815
1993,1,83,64365
1993,1,84,54959
1993,2,0,307923
1993,2,1,318046
1993,2,2,322255
1993,2,3,315675
1993,2,4,313257
1993,2,5,316097
1993,2,6,307276
1993,2,7,302953
1993,2,8,301901
1993,2,9,290425
1993,2,10,290105
1993,2,11,289579
1993,2,12,295318
1993,2,13,297493
1993,2,14,286153
1993,2,15,263818
1993,2,16,259788
1993,2,17,271078
1993,2,18,282948
1993,2,19,297680
1993,2,20,317085
1993,2,21,339003
1993,2,22,358842
1993,2,23,357240
1993,2,24,372190
1993,2,25,376658
1993,2,26,388030
1993,2,27,395147
1993,2,28,400329
1993,2,29,398761
1993,2,30,391797
1993,2,31,382597
1993,2,32,372506
1993,2,33,356730
1993,2,34,350430
1993,2,35,343548
1993,2,36,333509
1993,2,37,321808
1993,2,38,313308
1993,2,39,317937
1993,2,40,315797
1993,2,41,311983
1993,2,42,316128
1993,2,43,326716
1993,2,44,337697
1993,2,45,362185
1993,2,46,391528
1993,2,47,308639
1993,2,48,304016
1993,2,49,303146
1993,2,50,287533
1993,2,51,261754
1993,2,52,242818
1993,2,53,256970
1993,2,54,260179
1993,2,55,257820
1993,2,56,252360
1993,2,57,248156
1993,2,58,241745
1993,2,59,234907
1993,2,60,235570
1993,2,61,241449
1993,2,62,247562
1993,2,63,247097
1993,2,64,241699
1993,2,65,237384
1993,2,66,238538
1993,2,67,239697
1993,2,68,237813
1993,2,69,237747
1993,2,70,238239
1993,2,71,245379
1993,2,72,254394
1993,2,73,258805
1993,2,74,172614
1993,2,75,159833
1993,2,76,173360
1993,2,77,180419
1993,2,78,185616
1993,2,79,178792
1993,2,80,166199
1993,2,81,153226
1993,2,82,141179
1993,2,83,131468
1993,2,84,120191
1994,1,0,324263
1994,1,1,322534
1994,1,2,333896
1994,1,3,335292
1994,1,4,329436
1994,1,5,326601
1994,1,6,330575
1994,1,7,320517
1994,1,8,316929
1994,1,9,317102
1994,1,10,304318
1994,1,11,303572
1994,1,12,303286
1994,1,13,307753
1994,1,14,310483
1994,1,15,300188
1994,1,16,276605
1994,1,17,271761
1994,1,18,279964
1994,1,19,288521
1994,1,20,305424
1994,1,21,328121
1994,1,22,349528
1994,1,23,361113
1994,1,24,359471
1994,1,25,371394
1994,1,26,376375
1994,1,27,388503
1994,1,28,390047
1994,1,29,396115
1994,1,30,394194
1994,1,31,386652
1994,1,32,376490
1994,1,33,371472
1994,1,34,355334
1994,1,35,345722
1994,1,36,339617
1994,1,37,328360
