year,strategy,n,d,p,rate
201011,ambulatory_care_conditions_acute,330235,14118044,17614441,0.022942979738449984
201011,ambulatory_care_conditions_chronic,352610,14118044,17614441,0.026048380071709242
201011,ambulatory_care_conditions_vaccine_preventable,153334,14118044,17614441,0.011487031457404212
201011,bads_daycase,358059,1486573,17614441,0.23907133891164928
201011,bads_daycase_occasional,170765,193477,17614441,0.8786128963132096
201011,bads_outpatients,429238,429238,17614441,1
201011,bads_outpatients_or_daycase,45648,45648,17532076,1
201011,cancelled_operations,195057,14118044,17614441,0.013955686588248438
201011,consultant_to_consultant_referrals-child_non-surgical,1152680,27800610,19227800,0.09695102151111169
201011,consultant_to_consultant_referrals-child_surgical,2911750,39775250,19227800,0.09074730950400378
201011,enhanced_recovery_colectomy,90037,9625,17258046,8.974638036343476
201011,enhanced_recovery_rectum,104366,9236,17126888,10.480275368194752
201011,eol_care-0-2_days,30616,13820961,17333297,0.0024345850907814487
201011,eol_care-3+_days,43919,13985680,17453717,0.0034859077063799436
201011,evidence_based_interventions_ent,40983,14118044,17614441,0.002806006252628135
201011,excess_beddays_elective,991138,12780,17614441,75.36642213985607
201011,excess_beddays_emergency,1137966,20017,17614441,59.67752101912153
201011,followup_reduction-child_non-surgical,17992800,9807810,19227800,1.4491199523076235
201011,followup_reduction-child_surgical,26786160,12989090,19227800,1.816230283389611
201011,intentional_self_harm,92399,14118044,17614441,0.005790762711951443
201011,left_before_treatment-child_ambulance,119870,4056770,19227800,0.02369736921936068
201011,left_before_treatment-child_walk-in,765280,26789580,19227800,0.028064497552274924
201011,medically_unexplained_related_admissions,267731,14118044,17614441,0.018947604991184634
201011,medicines_related_admissions_explicit,61298,14118044,17614441,0.004506856236420534
201011,obesity_related_admissions,81089.00999999495,14118044,17614441,0.0059330934698261445
201011,preop_los,253928,7065801,17614441,0.03857431723840912
201011,raid_ae,58373,14118044,17614441,0.003969696768196709
201011,raid_ip,7698733,733396,17614441,10.161676053241631
201011,readmission_within_28_days,1043826,14118044,17614441,0.07518725224019843
201011,smoking,319665.18000000087,14118044,17614441,0.023719619863933245
201011,stroke_early_supported_discharge,1253321,72820,17542519,14.999939030175163
201011,tele_conversion-child_non-surgical,27800610,27823830,19227800,0.9992474428626097
201011,tele_conversion-child_surgical,39775250,40068730,19227800,0.9934196736328157
201011,zero_los_no_procedure-child,303081,1585344,1922780,0.19007896214578712
201011,medicines_related_admissions_implicit_anti_diabetics,22273,13836014,17238766,0.001691371594611204
201011,enhanced_recovery_breast,90557,54685,16002484,1.6799949804285608
201011,evidence_based_interventions_msk,139089,13546978,16853883,0.010332605022354481
201011,medicines_related_admissions_implicit_benzodiasepines,29968,13506902,16807916,0.0023539293956531004
201011,enhanced_recovery_bladder,19877,1282,13273685,14.172866010152172
201011,medicines_related_admissions_implicit_nsaids,10479,12559128,15708465,9.037871016198682e-4
201011,enhanced_recovery_hip,322336,50812,15981972,6.199332659937802
201011,medicines_related_admissions_implicit_diurectics,30916,12661009,15826782,0.0026346791373645
201011,enhanced_recovery_hysterectomy,123522,32656,8827027,4.484060531814218
201011,enhanced_recovery_prostate,15807,4513,6152063,4.916285608230601
201011,enhanced_recovery_knee,288004,49536,15044930,5.892760943756272
201011,alcohol_partially_attributable-acute,59965.51000000009,11145615,13793557,0.0052244838987267955
201011,alcohol_partially_attributable-chronic,465411.3700000009,12675635,15829235,0.03825905849809708
201011,alcohol_wholly_attributable,264712,12675635,15829235,0.01999614801833244
201011,consultant_to_consultant_referrals-adult_non-surgical,8418780,208866110,156916610,0.040409753077015206
201011,consultant_to_consultant_referrals-adult_surgical,20204630,326537030,156916610,0.06604108144354613
201011,followup_reduction-adult_non-surgical,139405210,69460900,156916610,2.0920177440147305
201011,followup_reduction-adult_surgical,235090410,91446620,156916610,2.67158169357407
201011,left_before_treatment-adult_ambulance,1235760,32673380,156916610,0.035254451109528254
201011,left_before_treatment-adult_walk-in,2556080,66024050,156916610,0.0272294248229379
201011,tele_conversion-adult_non-surgical,208866110,209493870,156916610,0.9969776625679474
201011,tele_conversion-adult_surgical,326537030,329986840,156916610,0.989202657735846
201011,zero_los_no_procedure-adult,774658,12532700,15691661,0.059929007598498216
201011,ambulatory_emergency_care_very_high,634,892,52256,0.7107623318385651
201011,evidence_based_interventions_general_surgery,50345,12437862,15610208,0.004043574837913886
201011,evidence_based_interventions_gi_surgical,599010,12437862,15610208,0.04875605124840098
201011,evidence_based_interventions_urology,217901,12437862,15610208,0.018166366419027413
201011,evidence_based_interventions_vasuclar_varicose_veins,27801,12437862,15610208,0.002196943320461687
201011,falls_related_admissions,162373,5158209,7004373,0.0318938420549676
201011,emergency_elderly,13428819,1301756,3987928,10.019479756311146
201011,frail_elderly-high,633678,2925523,3987928,0.22106371426079535
201011,frail_elderly-intermediate,855668,2925523,3987928,0.2980887254464507
201112,ambulatory_care_conditions_acute,329089,14364717,17614441,0.022528517280209038
201112,ambulatory_care_conditions_chronic,347810,14364717,17614441,0.024986151745602196
201112,ambulatory_care_conditions_vaccine_preventable,156408,14364717,17614441,0.011397445369946422
201112,bads_daycase,334866,1490871,17614441,0.22272699696507017
201112,bads_daycase_occasional,176393,201942,17614441,0.8700694342376128
201112,bads_outpatients,426139,753966,17614441,0.6720321894934114
201112,bads_outpatients_or_daycase,45551,66338,17480831,0.8244471967063192
201112,cancelled_operations,198823,14364717,17614441,0.013952075798454103
201112,consultant_to_consultant_referrals-child_non-surgical,1114820,27770520,19227800,0.09506611426802654
201112,consultant_to_consultant_referrals-child_surgical,3353700,44503360,19227800,0.09265096393098543
201112,enhanced_recovery_bladder,19961,1315,13030178,14.201822599675145
201112,enhanced_recovery_colectomy,86174,9834,17220592,8.598487613766773
201112,eol_care-0-2_days,28686,14151056,17358521,0.002171687624998385
201112,eol_care-3+_days,42725,13860129,17041611,0.003305843959216008
201112,evidence_based_interventions_ent,36594,14364717,17614441,0.0024704460548698416
201112,excess_beddays_elective,855929,17485,17614441,47.91210579773258
201112,excess_beddays_emergency,696469,17092,17614441,43.27061431208252
201112,followup_reduction-child_non-surgical,18032050,9738470,19227800,1.4600071071823888
201112,followup_reduction-child_surgical,29637550,14865810,19227800,1.7538945549108487
201112,intentional_self_harm,91696,14336827,17582909,0.005793796952891099
201112,left_before_treatment-child_ambulance,91380,3854480,19227800,0.018951641196135075
201112,left_before_treatment-child_walk-in,670070,30844720,19227800,0.021033088665567017
201112,low_cost_discharged-child_ambulance,1638370,3854480,19227800,0.4418085369221092
201112,low_cost_discharged-child_walk-in,15189560,30844720,19227800,0.5252968754751012
201112,medically_unexplained_related_admissions,261083,14364717,17614441,0.018111996786995755
201112,medicines_related_admissions_explicit,65020,14364717,17614441,0.004650455486839985
201112,medicines_related_admissions_implicit_anti_diabetics,21502,14364717,17614441,0.001547825921103826
201112,obesity_related_admissions,85474.1399999944,14364717,17614441,0.0061106717470439985
201112,preop_los,212650,7305076,17614441,0.03131231161343612
201112,raid_ae,59952,14364717,17614441,0.004042583582550897
